product_slug,metal_species,extracted_n_total,extracted_n_display,source_count,basis_types,loaded_source_values_summary,regulatory_reference_values,source_pages,source_page_slugs,follow_up_queue_summary
plant-milks-rice-based,Pb,0,N pending,0,none,No structured values loaded for this metal/species.,No FDA or EU regulatory reference value is loaded for this product/metal.,,,
plant-milks-rice-based,Cd,0,N pending,0,none,No structured values loaded for this metal/species.,No FDA or EU regulatory reference value is loaded for this product/metal.,,,
plant-milks-rice-based,iAs,0,N pending,0,none,No structured values loaded for this metal/species.,EU: 30 ug/kg iAs; wet weight; regulations/eu2023-arsenic-rice-based-drinks,Damato 2026,sources/damato2026-inorganic-arsenic-rice-based-beverages,
plant-milks-rice-based,tAs,0,N pending,0,none,No structured values loaded for this metal/species.,No FDA or EU regulatory reference value is loaded for this product/metal.,Damato 2026,sources/damato2026-inorganic-arsenic-rice-based-beverages,
