product_slug,metal_species,extracted_n_total,extracted_n_display,source_count,basis_types,loaded_source_values_summary,regulatory_reference_values,source_pages,source_page_slugs,follow_up_queue_summary
infant-formula-rtf-liquid-non-soy,Pb,87,87; 2 sources; prepared-for-feeding,2,prepared-for-feeding,FDA 2026: N=20; prepared-for-feeding; highest 0.5 ppb | Dabeka 2011: N=67; prepared-for-feeding; mean 0.9; median 0.84; highest 2.46 ppb,EU: 10 ug/kg Pb; as sold; regulations/eu2023-contaminants-maximum-levels | FDA: no formula-specific regulatory value loaded for this metal/species.,Dabeka 2011; FDA 2026,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum; sources/fda2026-infant-formula-toxic-elements-special-survey,14 routed sources still need follow-up before the evidence pool is complete. 14 have matched local source files but still need extraction or review.
infant-formula-rtf-liquid-non-soy,Cd,87,87; 2 sources; prepared-for-feeding,2,prepared-for-feeding,FDA 2026: N=20; prepared-for-feeding; highest 0.7 ppb | Dabeka 2011: N=67; prepared-for-feeding; mean 0.23; median 0.11; highest 1.26 ppb,EU: 5 ug/kg Cd; as sold; regulations/eu-2023-915-cadmium | FDA: no formula-specific regulatory value loaded for this metal/species.,Dabeka 2011; FDA 2026,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum; sources/fda2026-infant-formula-toxic-elements-special-survey,14 routed sources still need follow-up before the evidence pool is complete. 14 have matched local source files but still need extraction or review.
infant-formula-rtf-liquid-non-soy,iAs,0,N pending,0,none,No inorganic-arsenic values are loaded. Total arsenic is present elsewhere but cannot substitute for iAs.,EU: 10 ug/kg iAs; as sold; regulations/eu2023-contaminants-maximum-levels | FDA: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,14 routed sources still need follow-up before the evidence pool is complete. 14 have matched local source files but still need extraction or review.
infant-formula-rtf-liquid-non-soy,tAs,20,20; 1 source; prepared-for-feeding,1,prepared-for-feeding,FDA 2026: N=20; prepared-for-feeding; highest 3 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,14 routed sources still need follow-up before the evidence pool is complete. 14 have matched local source files but still need extraction or review.
infant-formula-rtf-liquid-non-soy,tHg,20,20; 1 source; prepared-for-feeding,1,prepared-for-feeding,FDA 2026: N=20; prepared-for-feeding; highest 0 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,14 routed sources still need follow-up before the evidence pool is complete. 14 have matched local source files but still need extraction or review.
infant-formula-rtf-liquid-non-soy,Ni,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,14 routed sources still need follow-up before the evidence pool is complete. 14 have matched local source files but still need extraction or review.
infant-formula-rtf-liquid-non-soy,Al,67,67; 1 source; prepared-for-feeding,1,prepared-for-feeding,Dabeka 2011: N=67; prepared-for-feeding; mean 437; median 365; highest 3442 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,Dabeka 2011,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum,14 routed sources still need follow-up before the evidence pool is complete. 14 have matched local source files but still need extraction or review.
