product_slug,metal_species,extracted_n_total,extracted_n_display,source_count,basis_types,loaded_source_values_summary,regulatory_reference_values,source_pages,source_page_slugs,follow_up_queue_summary
infant-formula-concentrated-liquid-non-soy,Pb,8,8; 1 source; prepared-for-feeding,1,prepared-for-feeding,FDA 2026: N=8; prepared-for-feeding; highest 0.4 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,1 routed source still need follow-up before the evidence pool is complete. 1 has matched local source file but still need extraction or review.
infant-formula-concentrated-liquid-non-soy,Cd,8,8; 1 source; prepared-for-feeding,1,prepared-for-feeding,FDA 2026: N=8; prepared-for-feeding; highest 0.5 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,1 routed source still need follow-up before the evidence pool is complete. 1 has matched local source file but still need extraction or review.
infant-formula-concentrated-liquid-non-soy,tAs,8,8; 1 source; prepared-for-feeding,1,prepared-for-feeding,FDA 2026: N=8; prepared-for-feeding; highest 0.4 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,1 routed source still need follow-up before the evidence pool is complete. 1 has matched local source file but still need extraction or review.
infant-formula-concentrated-liquid-non-soy,tHg,8,8; 1 source; prepared-for-feeding,1,prepared-for-feeding,FDA 2026: N=8; prepared-for-feeding; highest 0 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,1 routed source still need follow-up before the evidence pool is complete. 1 has matched local source file but still need extraction or review.
infant-formula-concentrated-liquid-non-soy,Al,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,1 routed source still need follow-up before the evidence pool is complete. 1 has matched local source file but still need extraction or review.
infant-formula-concentrated-liquid-non-soy,Pb; Cd; tAs; tHg,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-product-testing-results,1 routed source still need follow-up before the evidence pool is complete. 1 has matched local source file but still need extraction or review.
