product_slug,metal_species,extracted_n_total,extracted_n_display,source_count,basis_types,loaded_source_values_summary,regulatory_reference_values,source_pages,source_page_slugs,follow_up_queue_summary
glucose-solutions,Pb,0,N pending,0,none,No structured values loaded for this metal/species.,No FDA or EU regulatory reference value is loaded for this product/metal.,,,
glucose-solutions,Cd,0,N pending,0,none,No structured values loaded for this metal/species.,No FDA or EU regulatory reference value is loaded for this product/metal.,,,
glucose-solutions,Al,0,N pending,0,none,No structured values loaded for this metal/species.,No FDA or EU regulatory reference value is loaded for this product/metal.,,,
