product_slug,metal_species,extracted_n_total,extracted_n_display,source_count,basis_types,loaded_source_values_summary,regulatory_reference_values,source_pages,source_page_slugs,follow_up_queue_summary
infant-formula-rtf-liquid-soy-based,Pb,17,17; 2 sources; prepared-for-feeding,2,prepared-for-feeding,FDA 2026: N=3; prepared-for-feeding; highest 0.4 ppb | Dabeka 2011: N=14; prepared-for-feeding; mean 1.45; median 1.36; highest 2.1 ppb,EU: 10 ug/kg Pb; as sold; regulations/eu2023-contaminants-maximum-levels | FDA: no formula-specific regulatory value loaded for this metal/species.,Dabeka 2011; FDA 2026,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum; sources/fda2026-infant-formula-toxic-elements-special-survey,11 routed sources still need follow-up before the evidence pool is complete. 11 have matched local source files but still need extraction or review.
infant-formula-rtf-liquid-soy-based,Cd,17,17; 2 sources; prepared-for-feeding,2,prepared-for-feeding,FDA 2026: N=3; prepared-for-feeding; highest 1.1 ppb | Dabeka 2011: N=14; prepared-for-feeding; mean 1.18; median 1.06; highest 2.95 ppb,EU: 10 ug/kg Cd; as sold; regulations/eu-2023-915-cadmium | FDA: no formula-specific regulatory value loaded for this metal/species.,Dabeka 2011; FDA 2026,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum; sources/fda2026-infant-formula-toxic-elements-special-survey,11 routed sources still need follow-up before the evidence pool is complete. 11 have matched local source files but still need extraction or review.
infant-formula-rtf-liquid-soy-based,iAs,0,N pending,0,none,No inorganic-arsenic values are loaded. Total arsenic is present elsewhere but cannot substitute for iAs.,EU: 10 ug/kg iAs; as sold; regulations/eu2023-contaminants-maximum-levels | FDA: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,11 routed sources still need follow-up before the evidence pool is complete. 11 have matched local source files but still need extraction or review.
infant-formula-rtf-liquid-soy-based,tAs,3,3; 1 source; prepared-for-feeding,1,prepared-for-feeding,FDA 2026: N=3; prepared-for-feeding; highest 1.3 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,11 routed sources still need follow-up before the evidence pool is complete. 11 have matched local source files but still need extraction or review.
infant-formula-rtf-liquid-soy-based,tHg,3,3; 1 source; prepared-for-feeding,1,prepared-for-feeding,FDA 2026: N=3; prepared-for-feeding; highest 0.08 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,11 routed sources still need follow-up before the evidence pool is complete. 11 have matched local source files but still need extraction or review.
infant-formula-rtf-liquid-soy-based,Ni,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,11 routed sources still need follow-up before the evidence pool is complete. 11 have matched local source files but still need extraction or review.
infant-formula-rtf-liquid-soy-based,Al,14,14; 1 source; prepared-for-feeding,1,prepared-for-feeding,Dabeka 2011: N=14; prepared-for-feeding; mean 730; median 769; highest 1121 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,Dabeka 2011,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum,11 routed sources still need follow-up before the evidence pool is complete. 11 have matched local source files but still need extraction or review.
