product_slug,metal_species,extracted_n_total,extracted_n_display,source_count,basis_types,loaded_source_values_summary,regulatory_reference_values,source_pages,source_page_slugs,follow_up_queue_summary
infant-formula-powder-soy-based,Pb,57,57; 3 sources; prepared-for-feeding and as-sold,3,prepared-for-feeding and as-sold,FDA 2026: N=38; prepared-for-feeding; highest 1.1 ppb | Dabeka 2011: N=15; prepared-for-feeding; median 1.27; highest 1.9 ppb | Kazi 2009: N=4; as-sold; mean 109.4; range 98.6-119; highest 119 ppb,EU: 20 ug/kg Pb; as sold; regulations/eu2023-contaminants-maximum-levels | FDA: no formula-specific regulatory value loaded for this metal/species.,Dabeka 2011; FDA 2026; Kazi 2009,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum; sources/fda2026-infant-formula-toxic-elements-special-survey; sources/kazi2009-toxic-elements-in-infant-formulae,17 routed sources still need follow-up before the evidence pool is complete. 17 have matched local source files but still need extraction or review.
infant-formula-powder-soy-based,Cd,57,57; 3 sources; prepared-for-feeding and as-sold,3,prepared-for-feeding and as-sold,FDA 2026: N=38; prepared-for-feeding; highest 1.4 ppb | Dabeka 2011: N=15; prepared-for-feeding; mean 1.56; median 1.39; highest 3.47 ppb | Kazi 2009: N=4; as-sold; mean 11.7; range 8.3-14.5; highest 14.5 ppb,EU: 20 ug/kg Cd; as sold; regulations/eu-2023-915-cadmium | FDA: no formula-specific regulatory value loaded for this metal/species.,Dabeka 2011; FDA 2026; Kazi 2009,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum; sources/fda2026-infant-formula-toxic-elements-special-survey; sources/kazi2009-toxic-elements-in-infant-formulae,17 routed sources still need follow-up before the evidence pool is complete. 17 have matched local source files but still need extraction or review.
infant-formula-powder-soy-based,iAs,0,N pending,0,none,No inorganic-arsenic values are loaded. Total arsenic is present elsewhere but cannot substitute for iAs.,EU: 20 ug/kg iAs; as sold; regulations/eu2023-contaminants-maximum-levels | FDA: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,17 routed sources still need follow-up before the evidence pool is complete. 17 have matched local source files but still need extraction or review.
infant-formula-powder-soy-based,tAs,38,38; 1 source; prepared-for-feeding,1,prepared-for-feeding,FDA 2026: N=38; prepared-for-feeding; highest 2.2 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,17 routed sources still need follow-up before the evidence pool is complete. 17 have matched local source files but still need extraction or review.
infant-formula-powder-soy-based,tHg,38,38; 1 source; prepared-for-feeding,1,prepared-for-feeding,FDA 2026: N=38; prepared-for-feeding; highest 0.3 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,17 routed sources still need follow-up before the evidence pool is complete. 17 have matched local source files but still need extraction or review.
infant-formula-powder-soy-based,Ni,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,17 routed sources still need follow-up before the evidence pool is complete. 17 have matched local source files but still need extraction or review.
infant-formula-powder-soy-based,Al,22,22; 4 sources; prepared-for-feeding and as-sold,4,prepared-for-feeding and as-sold,Dabeka 2011: N=15; prepared-for-feeding; mean 733; median 713; highest 1461 ppb | Kazi 2009: N=4; as-sold; mean 2270; range 1740-2720; highest 2720 ppb | Burrell 2010: N=1; as-sold; range 629-629; highest 629 ppb | Chuchu 2013: N=2; as-sold; range 656-756; highest 756 ppb,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,Burrell 2010; Chuchu 2013; Dabeka 2011; Kazi 2009,sources/burrell2010-aluminium-in-infant-formulas; sources/chuchu2013-aluminium-in-infant-formulas; sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum; sources/kazi2009-toxic-elements-in-infant-formulae,17 routed sources still need follow-up before the evidence pool is complete. 17 have matched local source files but still need extraction or review.
