product_slug,metal_species,source_id,source_label,source_slug,source_page,source_product_label,basis,n,loaded_values_summary,mean_ppb,mean_lb_ppb,mean_ub_ppb,median_ppb,range_low_ppb,range_high_ppb,highest_ppb,censoring_status,censoring_limit_ppb,unit,row_fit,direct_distribution_detail,standards_use_note
infant-formula-rtf-liquid-soy-based,Pb,dabeka2011-canada-infant-formula-lead-cadmium-aluminum,Dabeka 2011,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum,wiki/sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum.md,"Infant formula ready-to-use, soy-based",prepared-for-feeding,14,mean 1.45; median 1.36; highest 2.1 ppb,1.45,,,1.36,,,2.1,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-rtf-liquid-soy-based,Pb,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Ready-to-Feed Liquid, Soy-based",prepared-for-feeding,3,highest 0.4 ppb,,,,,,,0.4,,,ppb,direct_category1_row,yes,"Distribution-capable input after row fit, basis, censoring, and clean-row review; not a standalone standard."
infant-formula-rtf-liquid-soy-based,Cd,dabeka2011-canada-infant-formula-lead-cadmium-aluminum,Dabeka 2011,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum,wiki/sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum.md,"Infant formula ready-to-use, soy-based",prepared-for-feeding,14,mean 1.18; median 1.06; highest 2.95 ppb,1.18,,,1.06,,,2.95,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-rtf-liquid-soy-based,Cd,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Ready-to-Feed Liquid, Soy-based",prepared-for-feeding,3,highest 1.1 ppb,,,,,,,1.1,,,ppb,direct_category1_row,yes,"Distribution-capable input after row fit, basis, censoring, and clean-row review; not a standalone standard."
infant-formula-rtf-liquid-soy-based,tAs,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Ready-to-Feed Liquid, Soy-based",prepared-for-feeding,3,highest 1.3 ppb,,,,,,,1.3,,,ppb,direct_category1_row,yes,"Distribution-capable input after row fit, basis, censoring, and clean-row review; not a standalone standard."
infant-formula-rtf-liquid-soy-based,tHg,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Ready-to-Feed Liquid, Soy-based",prepared-for-feeding,3,highest 0.08 ppb,,,,,,,0.08,,,ppb,direct_category1_row,yes,"Distribution-capable input after row fit, basis, censoring, and clean-row review; not a standalone standard."
infant-formula-rtf-liquid-soy-based,Al,dabeka2011-canada-infant-formula-lead-cadmium-aluminum,Dabeka 2011,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum,wiki/sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum.md,"Infant formula ready-to-use, soy-based",prepared-for-feeding,14,mean 730; median 769; highest 1121 ppb,730,,,769,,,1121,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
