product_slug,metal_species,source_id,source_label,source_slug,source_page,source_product_label,basis,n,loaded_values_summary,mean_ppb,mean_lb_ppb,mean_ub_ppb,median_ppb,range_low_ppb,range_high_ppb,highest_ppb,censoring_status,censoring_limit_ppb,unit,row_fit,direct_distribution_detail,standards_use_note
infant-formula-concentrated-liquid-soy-based,Pb,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Concentrated Liquid, Soy-based",prepared-for-feeding,3,highest 0.4 ppb,,,,,,,0.4,,,ppb,bridge_product_context,no,Context distribution only; row fit is not direct enough for aggregate standards math.
infant-formula-concentrated-liquid-soy-based,Cd,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Concentrated Liquid, Soy-based",prepared-for-feeding,3,highest 1.5 ppb,,,,,,,1.5,,,ppb,bridge_product_context,no,Context distribution only; row fit is not direct enough for aggregate standards math.
infant-formula-concentrated-liquid-soy-based,tAs,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Concentrated Liquid, Soy-based",prepared-for-feeding,3,highest 0.7 ppb,,,,,,,0.7,,,ppb,bridge_product_context,no,Context distribution only; row fit is not direct enough for aggregate standards math.
infant-formula-concentrated-liquid-soy-based,tHg,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Concentrated Liquid, Soy-based",prepared-for-feeding,3,highest 0.05 ppb,,,,,,,0.05,,,ppb,bridge_product_context,no,Context distribution only; row fit is not direct enough for aggregate standards math.
