source_id,tds_food_number,tds_food_description,ingredient_slug,ingredient_label,product_slug,product_label,product_page_path,metal_species,analyte,analyte_slug,n,reported_zero_n,p10_ppb,p50_ppb,p90_ppb,p95_ppb,p100_ppb,reporting_limit_min_ppb,reporting_limit_max_ppb,basis,route_status,row_fit,evidence_fitness_verdict,review_state,action_needed,notes
fda2022-tds-elements-fy2018-fy2020,99,"Juice, apple, bottled",apple-juice,Apple juice,fruit-juice-not-canned,Fruit juice (not canned),wiki/products/fruit-juice-not-canned.md,Pb,Lead,lead,3,1,0.3,1.5,2.46,2.58,2.7,1,1,"FDA TDS prepared food/composite; reported concentration values retained",direct_product_route_candidate,tds_finished_food_product_route_candidate,EF-3,needs_review,"Review product scope, basis, small-n limits, and row fit before promotion into standards evidence.","FDA TDS finished-food composite summary retained from existing per-food/per-analyte data. Candidate only; not promoted into HMTc p90 math. Small N=3; review before standards use."
fda2022-tds-elements-fy2018-fy2020,99,"Juice, apple, bottled",apple-juice,Apple juice,fruit-juice-not-canned,Fruit juice (not canned),wiki/products/fruit-juice-not-canned.md,Cd,Cadmium,cadmium,3,3,0,0,0,0,0,1,1,"FDA TDS prepared food/composite; reported concentration values retained",direct_product_route_candidate,tds_finished_food_product_route_candidate,EF-3,needs_review,"Review product scope, basis, small-n limits, and row fit before promotion into standards evidence.","FDA TDS finished-food composite summary retained from existing per-food/per-analyte data. Candidate only; not promoted into HMTc p90 math. Small N=3; review before standards use."
fda2022-tds-elements-fy2018-fy2020,99,"Juice, apple, bottled",apple-juice,Apple juice,fruit-juice-not-canned,Fruit juice (not canned),wiki/products/fruit-juice-not-canned.md,tAs,Arsenic (total),arsenic-total,3,0,1.36,2.4,4,4.2,4.4,1,1,"FDA TDS prepared food/composite; reported concentration values retained",direct_product_route_candidate,tds_finished_food_product_route_candidate,EF-3,needs_review,"TDS row is total arsenic; do not use it as inorganic arsenic evidence.","FDA TDS finished-food composite summary retained from existing per-food/per-analyte data. Candidate only; not promoted into HMTc p90 math. Small N=3; review before standards use. TDS row is total arsenic; do not use it as inorganic arsenic evidence."
fda2022-tds-elements-fy2018-fy2020,99,"Juice, apple, bottled",apple-juice,Apple juice,fruit-juice-not-canned,Fruit juice (not canned),wiki/products/fruit-juice-not-canned.md,Ni,Nickel,nickel,3,2,0,0,16,18,20,20,20,"FDA TDS prepared food/composite; reported concentration values retained",direct_product_route_candidate,tds_finished_food_product_route_candidate,EF-3,needs_review,"Review product scope, basis, small-n limits, and row fit before promotion into standards evidence.","FDA TDS finished-food composite summary retained from existing per-food/per-analyte data. Candidate only; not promoted into HMTc p90 math. Small N=3; review before standards use."
fda2022-tds-elements-fy2018-fy2020,99,"Juice, apple, bottled",apple-juice,Apple juice,fruit-juices-apple-containing,"Fruit juices, apple-containing",wiki/products/fruit-juices-apple-containing.md,Pb,Lead,lead,3,1,0.3,1.5,2.46,2.58,2.7,1,1,"FDA TDS prepared food/composite; reported concentration values retained",direct_product_route_candidate,tds_finished_food_product_route_candidate,EF-3,needs_review,"Review product scope, basis, small-n limits, and row fit before promotion into standards evidence.","FDA TDS finished-food composite summary retained from existing per-food/per-analyte data. Candidate only; not promoted into HMTc p90 math. Small N=3; review before standards use."
fda2022-tds-elements-fy2018-fy2020,99,"Juice, apple, bottled",apple-juice,Apple juice,fruit-juices-apple-containing,"Fruit juices, apple-containing",wiki/products/fruit-juices-apple-containing.md,tAs,Arsenic (total),arsenic-total,3,0,1.36,2.4,4,4.2,4.4,1,1,"FDA TDS prepared food/composite; reported concentration values retained",direct_product_route_candidate,tds_finished_food_product_route_candidate,EF-3,needs_review,"TDS row is total arsenic; do not use it as inorganic arsenic evidence.","FDA TDS finished-food composite summary retained from existing per-food/per-analyte data. Candidate only; not promoted into HMTc p90 math. Small N=3; review before standards use. TDS row is total arsenic; do not use it as inorganic arsenic evidence."
fda2022-tds-elements-fy2018-fy2020,100,"Juice, grapefruit, bottled/cartoned",grapefruit-juice,Grapefruit juice,fruit-juices-non-apple,"Fruit juices, non-apple",wiki/products/fruit-juices-non-apple.md,Pb,Lead,lead,3,3,0,0,0,0,0,1,1,"FDA TDS prepared food/composite; reported concentration values retained",direct_product_route_candidate,tds_finished_food_product_route_candidate,EF-3,needs_review,"Review product scope, basis, small-n limits, and row fit before promotion into standards evidence.","FDA TDS finished-food composite summary retained from existing per-food/per-analyte data. Candidate only; not promoted into HMTc p90 math. Small N=3; review before standards use."
fda2022-tds-elements-fy2018-fy2020,100,"Juice, grapefruit, bottled/cartoned",grapefruit-juice,Grapefruit juice,fruit-juices-non-apple,"Fruit juices, non-apple",wiki/products/fruit-juices-non-apple.md,tAs,Arsenic (total),arsenic-total,3,3,0,0,0,0,0,1,1,"FDA TDS prepared food/composite; reported concentration values retained",direct_product_route_candidate,tds_finished_food_product_route_candidate,EF-3,needs_review,"TDS row is total arsenic; do not use it as inorganic arsenic evidence.","FDA TDS finished-food composite summary retained from existing per-food/per-analyte data. Candidate only; not promoted into HMTc p90 math. Small N=3; review before standards use. TDS row is total arsenic; do not use it as inorganic arsenic evidence."
