source_id,sample_id,total_as_raw,total_as_lower_bound_ppb,total_as_censoring,inorganic_as_raw,inorganic_as_lower_bound_ppb,inorganic_as_censoring,dma_raw,dma_lower_bound_ppb,dma_censoring,mma_raw,mma_lower_bound_ppb,mma_censoring,product_slug,source_product_label,basis,unit,notes
fda2011-apple-juice-arsenic-speciation,689740,6.7,6.7,quantified,5.8,5.8,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,689741,5.8,5.8,quantified,3.9,3.9,quantified,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,689742,4.3,4.3,quantified,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,693283,9.2,9.2,quantified,7.2,7.2,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,693284,9.9,9.9,quantified,7.9,7.9,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,694020,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,694021,5.4,5.4,quantified,5.1,5.1,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,695975,5.4,5.4,quantified,4.7,4.7,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,695976,4.6,4.6,quantified,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,695977,4.9,4.9,quantified,3.9,3.9,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,695978,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,695979,7.1,7.1,quantified,6.5,6.5,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,695980,7.5,7.5,quantified,6.6,6.6,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,697132,6.8,6.8,quantified,5.1,5.1,quantified,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,697133,6.5,6.5,quantified,4.9,4.9,quantified,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,697134,6.7,6.7,quantified,5.1,5.1,quantified,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,701815,3.5,3.5,quantified,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,701816,8,8,quantified,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,702418,1.9,1.9,quantified,TR,0,reported_trace_above_lod_below_loq,TR,0,reported_trace_above_lod_below_loq,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
fda2011-apple-juice-arsenic-speciation,702419,6.1,6.1,quantified,5.4,5.4,quantified,0,0,reported_zero_or_not_detected,0,0,reported_zero_or_not_detected,fruit-juices-apple-containing,FDA 2011 single-strength apple juice,single_strength_juice,ppb,FDA reports Trace (TR) when species results are below LOQ and above LOD; lower-bound summary treats TR as 0 ppb.
