source_id,tds_food_number,tds_food_description,ingredient_slug,ingredient_label,analyte,analyte_slug,metal_species,units_original,normalized_unit,n,reported_zero_n,min_ppb_equivalent,p10_ppb_equivalent,p50_ppb_equivalent,p90_ppb_equivalent,p95_ppb_equivalent,max_ppb_equivalent,reporting_limit_min_ppb_equivalent,reporting_limit_max_ppb_equivalent,basis,review_state,notes
fda2022-tds-elements-fy2018-fy2020,1,"Milk, whole, fluid",whole-milk,Whole milk,Vanadium,vanadium,,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,3,3,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,1,"Milk, whole, fluid",whole-milk,Whole milk,Zinc,zinc,,ppb,ppb_equivalent,27,0,3300,3500,4000,4140,4270,4500,50,50,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Arsenic (total),arsenic-total,tAs,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Cadmium,cadmium,Cd,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Calcium,calcium,,ppm,ppb_equivalent,27,0,920000,1100000,1200000,1300000,1300000,1400000,1000,1000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Chromium,chromium,Cr,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,25,25,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Copper,copper,,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,50,50,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Iodine,iodine,,ppb,ppb_equivalent,27,0,200,242,340,394,407,420,3,3,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Iron,iron,,ppb,ppb_equivalent,27,11,0,0,150,170,170,520,150,150,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Lead,lead,Pb,ppb,ppb_equivalent,27,26,0,0,0,0,0,1.7,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Magnesium,magnesium,,ppm,ppb_equivalent,27,0,86000,99600,110000,120000,127000,130000,1000,1000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Manganese,manganese,,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,25,25,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Mercury,mercury,tHg,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Molybdenum,molybdenum,,ppb,ppb_equivalent,27,0,29,33.2,39,45,49.2,54,20,20,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Nickel,nickel,Ni,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,20,20,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Phosphorus,phosphorus,,ppm,ppb_equivalent,27,0,740000,872000,950000,1000000,1070000,1100000,2000,2000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Potassium,potassium,,ppm,ppb_equivalent,27,0,1100000,1300000,1500000,1600000,1670000,1700000,2000,2000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Selenium,selenium,,ppb,ppb_equivalent,27,0,25,28.6,35,41.2,43.7,51,3,3,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Sodium,sodium,,ppm,ppb_equivalent,27,0,310000,342000,380000,408000,434000,440000,2000,2000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Strontium,strontium,,ppb,ppb_equivalent,27,0,200,232,440,838,885,1000,40,40,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Uranium,uranium,U,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Vanadium,vanadium,,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,3,3,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,2,"Milk, reduced fat, fluid",reduced-fat-milk,Reduced-fat milk,Zinc,zinc,,ppb,ppb_equivalent,27,0,3200,3520,4100,4440,4500,4600,50,50,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Arsenic (total),arsenic-total,tAs,ppb,ppb_equivalent,27,20,0,0,0,1.14,1.34,1.4,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Cadmium,cadmium,Cd,ppb,ppb_equivalent,27,0,1.1,1.5,2.2,4.28,5.1,7,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Calcium,calcium,,ppm,ppb_equivalent,27,0,1000000,1100000,1200000,1300000,1370000,1400000,1000,1000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Chromium,chromium,Cr,ppb,ppb_equivalent,27,11,0,0,29,35.4,39.5,43,25,25,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Copper,copper,,ppb,ppb_equivalent,27,1,0,210,280,406,430,530,50,50,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Iodine,iodine,,ppb,ppb_equivalent,27,0,200,226,290,368,415,440,3,3,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Iron,iron,,ppb,ppb_equivalent,27,0,1700,2100,2800,3900,4110,4300,150,150,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,3,"Milk, chocolate, reduced fat, fluid",chocolate-reduced-fat-milk,Chocolate reduced-fat milk,Lead,lead,Pb,ppb,ppb_equivalent,27,6,0,0,1.2,1.5,1.64,1.9,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
